o:id,url,o:resource_template,o:resource_class,o:owner,o:is_public,o:item_set[o:id],o:item_set[dcterms:title],o:media[o:id],o:media[file],dcterms:title,dcterms:creator,dcterms:subject,dcterms:description,dcterms:publisher,dcterms:date,dcterms:type,dcterms:format,dcterms:identifier,dcterms:source,dcterms:language,dcterms:relation,dcterms:coverage,dcterms:alternative,dcterms:created,dcterms:available,dcterms:issued,dcterms:modified,dcterms:medium,dcterms:isPartOf,dcterms:hasPart,dcterms:isFormatOf,dcterms:spatial,dcterms:temporal,dcterms:bibliographicCitation,dcterms:provenance,bibo:annotates,bibo:owner,bibo:content,bibo:locator,bibo:numPages,bibo:number,bibo:pages,bibo:section,bibo:uri,bibo:volume,oc:location,oc:localUrl,oc:eventType,mads:birthPlace,mads:deathPlace,mads:fieldOfActivity,mads:fullerName,mads:hasDemonym,mads:hasRelatedAuthority,mads:hasVariant,mads:occupation,mads:useFor,mads:birthDate,mads:deathDate,mads:entityDescriptor,mads:honoraryTitle,skos:hasTopConcept,skos:prefLabel,skos:altLabel,skos:note,skos:definition,curation:location,curation:note,curation:status
39610,https://repositoriodigital.ohc.cu/s/repositoriodigital/item/39610,Fotografía,dctype:StillImage,laurav@patrimonio.ohc.cu,False,39429;39430,Fotos de Arquitectura;Arquitectura Industrial,39630,,[Modesto Caserón de la Calle Xifré donde nació la empresa industrial que fabrica la Cerveza ¨La Tropical¨],,Cuba;La Habana;Xifre;Industria Cervecera;Fábrica;Edificacion;Caseron;Calle;árbol,"La foto tiene en la parte inferior del anverso la descripción;Modesto Caseron de la Calle Xifré, nació hace sesenta y cinco años, la hoy floreciente empresa industrial que fabrica la cerveza ""La Tropical""",,,,B/N;Horizontal,(Solo digital),,,,,,,,,,,,,,,,,,,,,,,,,,ohcfh_cfs_000001051.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
39631,https://repositoriodigital.ohc.cu/s/repositoriodigital/item/39631,Fotografía,dctype:StillImage,laurav@patrimonio.ohc.cu,False,39429;39430,Fotos de Arquitectura;Arquitectura Industrial,39634,,[Tanques destinados al mejoramiento térmico en el proceso de depurar el precioso Líquido],,Cuba;La Habana;Industria Cervecera;Tanques;Tuberias,La foto tiene en la parte inferior del anverso la descripción;Complejos mecanismos y tanques destinados al mayor mejoramiento térmico en el proceso de depurar el precioso líquido,,,,B/N;Vertical,(Solo digital),,,,,,,,,,,,,,,,,,,,,,,,,,ohcfh_cfs_000001052.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
39632,https://repositoriodigital.ohc.cu/s/repositoriodigital/item/39632,Fotografía,dctype:StillImage,laurav@patrimonio.ohc.cu,False,39429;39430,Fotos de Arquitectura;Arquitectura Industrial,39635,,"[Anuncio de vista general de la Industria cervecera Internacional, S. A]",,Cuba;La Habana;Industria Cervecera;Fábrica;Edificación;Bandera cubana;Árboles;Terreno,"La foto tiene en la parte inferior del anverso la descripción;Vista general del sistema de edificios donde radica la Industria cervecera Internacional, S. A",,,,B/N;Horizontal,(Solo digital),,,,,,,,,,,,,,,,,,,,,,,,,,ohcfh_cfs_000001053.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
39633,https://repositoriodigital.ohc.cu/s/repositoriodigital/item/39633,Fotografía,dctype:StillImage,laurav@patrimonio.ohc.cu,False,39429;39430,Fotos de Arquitectura;Arquitectura Industrial,39636,,"[Anuncio de Compañía cervecera Internacional, S. A.]",,"Rodríguez Bautista, Jesús;Sierra Armendaiz, Nicolás;Cuba;La Habana;Industria Cervecera;Hombres;Libro","La foto posee descripción en el anverso;Captura de fragmento del libro: Compañía cervecera Internacional, S. A. Su fundación y desenvolvimiento",,,,B/N;Horizontal,(Solo digital),,,,,,,,,,,,,,,,,,,,,,,,,,ohcfh_cfs_000001054.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
34839,https://repositoriodigital.ohc.cu/s/repositoriodigital/item/34839,Fotografía,dctype:StillImage,,True,6;20338,Colección Panorámicas,36069,,T.S. Morro Castle Beached,Anónimo,,"lujoso Transatlántico de la década de 1930 construido para la naviera Ward Line para recorridos entre Nueva York y La Habana. En la mañana del 8 de septiembre de 1934, en el camino de La Habana a Nueva York, la nave se incendió y se quemó, matando a 137 pasajeros y miembros de la tripulación. El barco finalmente encalló cerca de Asbury Park, Nueva Jersey, y permaneció allí durante varios meses, hasta que fue remolcado fuera y desechado",,1934,,Positivo;Panorámica;Original;Impresión Mecánica;Papel;B/N;Horizontal,102 846,,,,,,,,,,,,,,,,,,,,,,,,,,ohcfh_cp_000000268.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
34840,https://repositoriodigital.ohc.cu/s/repositoriodigital/item/34840,Fotografía,dctype:StillImage,,True,6;20338,Colección Panorámicas,36071,,[Aduana de La Habana],Llorente;Foto Marianao,La Habana;Cuba;Aduana de La Habana;Lonja del Comercio;Casablanca;Instituto de metereológia,,,,,Positivo;Panorámica;Original;Plata/Gelatina;Papel;Gelatina;B/N;Horizontal,103339,,,,,,,,,,,,,,"Real, 93 entre Grl. Lee y Maceo, Marianao;La Habana;Cuba",,,,,,,,,,,,ohcfh_cp_000000286.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
34776,https://repositoriodigital.ohc.cu/s/repositoriodigital/item/34776,Fotografía,dctype:StillImage,,True,6;20338,Colección Panorámicas,35943,,[VII Congreso Internacional de Pediatría],Llorente,La Habana;Cuba;Capitolio Nacional,El congreso se celebró del 12 al 17 de octubre de 1953,,oct.,,Positivo;Panorámica;Original;Plata/Gelatina;Papel;Gelatina;120x25 cm.;B/N;Horizontal,103507,,,,,,,,,,,,,,"Real 93, Marianao;La Habana;Cuba",,,,,,,,,,,,ohcfh_cp_000000270.jpg,,"ACH 3, G5",,,,,,,,,,,,,,,,,,,,,,,
34817,https://repositoriodigital.ohc.cu/s/repositoriodigital/item/34817,Fotografía,dctype:StillImage,,True,6;20338,Colección Panorámicas,36022,,[Regimiento Militar],"Martínez Illa, Arturo",,,,1920,,Positivo;Panorámica;Original;Plata/Gelatina;Papel;Gelatina;109x25 cm.;B/N;Horizontal,103875,,,,,,,,,,,,,,"Apartado 81, Caibarién;Las Villas;Cuba",,,,,,,,,,,,ohcfh_cp_000000272.jpg,,"G2, G6",,,,,,,,,,,,,,,,,,,,,,,
34811,https://repositoriodigital.ohc.cu/s/repositoriodigital/item/34811,Fotografía,dctype:StillImage,,True,6;20338,Colección Panorámicas,36006,,[Malecón Habanero],Anónimo,La Habana;Cuba;Glorieta de la punta;Castillo de San Salvador de la Punta;Carcel de la Habana;Malecon,,,1918,,Positivo;Panorámica;Original;Plata/Gelatina;Papel;Gelatina;28x8 cm.;B/N;Horizontal,103876,,,,,,,,,,,,,,,,,,,,,,,,,,ohcfh_cp_000000274.jpg,,PLANERO,,,,,,,,,,,,,,,,,,,,,,,
34812,https://repositoriodigital.ohc.cu/s/repositoriodigital/item/34812,Fotografía,dctype:StillImage,,True,6;20338,Colección Panorámicas,36013,,[Buque de la Armada Española Corbeta “Nautilius”],American Photo Studios,La Habana;Cuba;Castillo de Los Tres Reyes del Morro;Glorieta de la punta;Castillo de San Salvador de la Punta;Carcel de la Habana;Malecon,"Primer buque de la Armada Española en visitar Cuba tras su independencia, llegó a la Habana el 24 de julio de 1908 y partió el 9 de junio de 1908 bajo el mando del Capitán de Fragata, Salvador Moreno Eliza. Estuvo operativo hasta 1925, como buque escuela de guardiamarina, fue dado de baja en 1932.",,jul.,,Positivo;Panorámica;Original;Plata/Gelatina;Papel;Gelatina;120x25 cm.;B/N;Horizontal,103877,,,,,,,,,,,,,,,,,,,,,,,,,,ohcfh_cp_000000276.jpg,,PLANERO,,,,,,,,,,,,,,,,,,,,,,,
41282,https://repositoriodigital.ohc.cu/s/repositoriodigital/item/41282,Carta,bibo:Letter,,True,24490;24522;39789,Papelería de Máximo Gómez Báez;Correspondencia;Cartas a Lola Rodríguez de Tió,41301;41463,https://repositoriodigital.ohc.cu/files/original/952d89de96a6afabf00b91a88114316402435b21.pdf,[Recibo a favor de Patria Tió sobre la entrega con carácter devolutivo de las cartas del Mayor General Máximo Gómez dirigidas a Lola Rodríguez de Tió],"Gómez Toro, Bernardo (Hijo del Mayor General del Ejército Libertador cubano, 18-11-1836  / 17-6-1905)","Rodríguez de Tió, Lola (Rodríguez de Astullido y Ponce de León, Dolores. Poetisa, Periodista y Revolucionaria Puertorriqueña. 1843-1924);Tió Rodríguez, Patria (Hija de Lola Rodríguez de Tió. 1865-1943);Gómez Báez, Máximo (Mayor General del Ejército Libertador Cubano, 1836-1905);Cartas;Correspondencia;Misivas;Recibos;Constancia;Comisión de Archivo;Oficinas de Publicaciones;Entrega;La Habana;Cuba;Oficina de Publicaciones del Archivo de Máximo Gómez (Siglo XX)","Colección Máximo Gómez Báez/ Correspondencia Máximo Gómez Báez - Lola Rodríguez de Tió.;Recibo a favor de Patria Tió, viuda de Fernando Sánchez de Fuentes, firmado por Bernardo Gómez Toro, Director de la Comisión del Archivo de Máximo Gómez, sobre la entrega con carácter devolutivo de treinta y dos cartas del Mayor General Máximo Gómez dirigidas a Lola Rodríguez de Tió.;Mecanuscrito con nota a mano (tinta negra);Cursiva",,1938-nov.18,,"1 documento papel: 13,9 x 21,4 cm",10553,,es,,,,,,,,,,,,"La Habana, Cuba",,,,,,,,,,,,ohcah_cmgb_000007867.pdf;ohcah_cmgb_000011770.jpg,,"Máximo Gómez Báez;Leg. 957, Exp. 2, 1/1.3/1",,,,,,,,,,,,,,,,,,,,,,,
41371,https://repositoriodigital.ohc.cu/s/repositoriodigital/item/41371,Carta,bibo:Letter,,True,24490;24522;39789,Papelería de Máximo Gómez Báez;Correspondencia;Cartas a Lola Rodríguez de Tió,41423;41428,https://repositoriodigital.ohc.cu/files/original/c45597be3ed3af5f746a147f8ada60ea3ea25575.pdf,[Pliego de papel: ¨Cartas auténticas del Generalísimo Máximo Gómez para ser entregadas a su hijo Bernardo - Patria¨],"Tió Rodríguez, Patria (Hija de Lola Rodríguez de Tió, 1865-1943)","Rodríguez de Tió, Lola (Rodríguez de Astullido y Ponce de León, Dolores. Poetisa, Periodista y Revolucionaria Puertorriqueña. 1843-1924);Gómez Báez, Máximo (Mayor General del Ejército Libertador Cubano, 1836-1905);Pliegos de Papel;Cartas;Correspondencia;Misivas;Constancia;Préstamo;Entrega","Colección Máximo Gómez Báez/ Correspondencia Máximo Gómez Báez - Lola Rodríguez de Tió.;Pliego de papel de formato pequeño que envolvía las cartas auténticas del Mayor General Máximo Gómez Báez dirigidas a Lola Rodríguez de Tió, en calidad de préstamo por Patria Tió. Presenta la siguiente nota a lápiz: ¨Cartas auténticas del Generalísimo Máximo Gómez para ser entregadas a Bernardo - Patria¨.;Manuscrito (lápiz);Cursiva;La hoja tiene filigrana.",,S/F [1938],,"1 pliego de papel, hoja rayada: 32,7 x 43,8 cm",10554,,es,,,,,,,,,,,,,,,,,,,,,,,,ohcah_cmgb_000008046.pdf;ohcah_cmgb_000011872.jpg,,"Máximo Gómez Báez;Leg. 957, Exp. 3, 1/1.3/2",,,,,,,,,,,,,,,,,,,,,,,
41283,https://repositoriodigital.ohc.cu/s/repositoriodigital/item/41283,Carta,bibo:Letter,,True,24490;24522;39789,Papelería de Máximo Gómez Báez;Correspondencia;Cartas a Lola Rodríguez de Tió,41302;41462,https://repositoriodigital.ohc.cu/files/original/d5d4c952352d6ddb1b66d7577b1173f4e4494320.pdf,[Carta a Lola Rodríguez con solicitud de verla para tratar asunto privado],,"Rodríguez de Tió, Lola (Rodríguez de Astullido y Ponce de León, Dolores. Poetisa, Periodista y Revolucionaria Puertorriqueña. 1843-1924);Cartas;Correspondencia;Misivas;Solicitud;Asunto Privado;Comisión de Archivo;Comisión del Archivo de Máximo Gómez (Siglo XX)",Colección Máximo Gómez Báez/ Correspondencia Máximo Gómez Báez - Lola Rodríguez de Tió.;Carta de Máximo Gómez Báez dirigida a Lola Rodríguez de Tió en la que le solicita verla para tratar un asunto rpivado sin testigos a las cuatro de la tarde. Se trata de un pliego de papel de formato pequeño con el anverso inicial escrito. El documento presenta el folio 75369 y el cuño seco: ¨COMISIÓN DEL ARCHIVO DE MÁXIMO GÓMEZ. COPIADO¨.;Manuscrito (tinta negra);Cursiva;La hoja tiene giligrana.,,1900-jul.-5,,"1 documento papel verjurado, hoja rayada: 20 x 25 cm",10555,,es,,,,,,,,,,,,,,,,,,,,,,,,ohcah_cmgb_000007868.pdf;ohcah_cmgb_000011771.jpg,,"Máximo Gómez Báez;Leg. 957, Exp. 3, 1/1.3/3",,,,,,,,,,,,,,,,,,,,,,,
41284,https://repositoriodigital.ohc.cu/s/repositoriodigital/item/41284,Carta,bibo:Letter,,True,24490;24522;39789,Papelería de Máximo Gómez Báez;Correspondencia;Cartas a Lola Rodríguez de Tió,41303;41304;41461,https://repositoriodigital.ohc.cu/files/original/b3ba1411d9d348fce44a6a17703aeacf7ddd424e.pdf,"[Carta a Lola Rodríguez con indicaciones para compra, uso de casa y detalles contentivos de su escritura a favor de Manana]",,"Rodríguez de Tió, Lola (Rodríguez de Astullido y Ponce de León, Dolores. Poetisa, Periodista y Revolucionaria Puertorriqueña. 1843-1924);Toro Pelegrín Bernarda (Manana, Esposa de Máximo Gómez Báez, 1852-1911);Cartas;Correspondencia;Misivas;Compra;Propiedades;Casas;Alquileres;Escrituras;Clubes;Clubes Revolucionarios;Club E. Núñez;Colegios;Huérfanos de La Guerra;Comisión de Archivo;Comisión del Archivo de Máximo Gómez (Siglo XX)","Colección Máximo Gómez Báez/ Correspondencia Máximo Gómez Báez - Lola Rodríguez de Tió.;Carta de Máximo Gómez Báez dirigida a Lola Rodríguez de Tió  con indicaciones para compra y uso de casa, así como detalles contentivos de su escritura a favor de Bernarda Toro  Pelegrín, esposa del Mayor General. El remitente refiere comprar la residencia conforme al parecer de Manana y sus hijos, bajo la expresa condición de no entrar en posesión de la misma hasta que Cuba sea declarada una nación libre e independiente. Mientras tanto, dicha casa deberá ser entregada al Club E. Núñez para que corra por su cuenta la conservación de la misma, teniendo en cuenta ciertas reglas, tales como: de los alquileres que devenguen la propiedad mensualmente se dividan en terceras partes al Colegio Club E.N. [sic], a los huérfanos de la guerra y a los fondos para la conservación de la casa. Por último, Gómez le pide a su amiga que medite y estudie estas indicaciones anteriormente descritas por él. En el documento se observan el folio 75408 y el cuño seco: ¨COMISIÓN DEL ARCHIVO DE MÁXIMO GÓMEZ. COPIADO¨.;Manuscrito (tinta negra);Cursiva",,1900-jul.-9,,"1 documento papel, hoja de block rayada: 24 x 23 cm",10556,,es,,,,,,,,,,,,,,,,,,,,,,,,ohcah_cmgb_000007870.pdf;ohcah_cmgb_000011772.jpg;ohcah_cmgb_000011773.jpg,,"Máximo Gómez Báez;Leg. 957, Exp. 3, 1/1.3/4",,,,,,,,,,,,,,,,,,,,,,,
41285,https://repositoriodigital.ohc.cu/s/repositoriodigital/item/41285,Carta,bibo:Letter,,True,24490;24522;39789,Papelería de Máximo Gómez Báez;Correspondencia;Cartas a Lola Rodríguez de Tió,41305;41306;41307;41308;41460,https://repositoriodigital.ohc.cu/files/original/4a339ef9d0303f2f8c2d3fd30fd1840eaaee0fd7.pdf,[Carta a Lola Rodríguez con comentarios sobre la situación política de Cuba y la Convención Constituyente. Calabazar],,"Rodríguez de Tió, Lola (Rodríguez de Astullido y Ponce de León, Dolores. Poetisa, Periodista y Revolucionaria Puertorriqueña. 1843-1924);Tió Rodríguez, Patria (Hija de Lola Rodríguez de Tió. 1865-1943);Sanchéz de Fuentes, Fernando (Esposo de Patria Tió, Poeta, Escritor, Ldo. en Derecho, 1871-1935);Toro Pelegrín Bernarda (Manana, Esposa de Máximo Gómez Báez, 1852-1911);Tió Segarra, Bonocio (Esposo de Lola Rodríduez de Tió, Poeta, Escritor y Revolucionario Puertorriqueño, 1839-1905);Adela (?);Cartas;Correspondencia;Misivas;Viaje;Situación Política;Intervención Norteamericana;Convención Nacional Constituyente;Convención Constituyente;Comisión de Archivo;Calabazar;La Habana;Cuba;Comisión del Archivo de Máximo Gómez (Siglo XX);Convención Constituyente (1900-1901)","Colección Máximo Gómez Báez/ Correspondencia Máximo Gómez Báez - Lola Rodríguez de Tió.;Carta de Máximo Gómez Báez dirigida a Lola Rodríguez de Tió en la que el remitente expresa alegría por el regreso de su amiga a Cuba, después de un viaje sin contratiempos. Asimismo, comenta sobre la situación política de Cuba, la intervención estadounidense en sus asuntos y la Convención Constituyente. Respecto a otros asuntos, menciona su comunicación con Patria Tió y al esposo de Lola, Bonocio Tió, que no quedará desempleado. El documento presenta los folios: 75365 y 75366, además del cuño seco: ¨COMISIÓN DEL ARCHIVO DE MÁXIMO GÓMEZ. COPIADO¨.;Manuscrito (tinta negra);Cursiva;Pliego de papel completamente escrito, formato pequeño, algo oscurecido.",,1900-sep.-13,,"1 documento papel, hoja rayada: 20,3 x 213 cm",10557,,es,,,,,,,,,,,,"Calabazar, La Habana, Cuba",,,,,,,,,,,,ohcah_cmgb_000007872.pdf;ohcah_cmgb_000011774.jpg;ohcah_cmgb_000011775.jpg;ohcah_cmgb_000011776.jpg;ohcah_cmgb_000011777.jpg,,"Máximo Gómez Báez;Leg. 957, Exp. 3, 1/1.3/5",,,,,,,,,,,,,,,,,,,,,,,
